<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20140219,000000,96.5100000,96.5900000,94.5300000,94.9000000,78880090
SBER,D,20140220,000000,94.1400000,94.7600000,93.6100000,94.6300000,71842660
SBER,D,20140221,000000,95.0300000,95.4400000,94.5100000,95.0000000,51882710
SBER,D,20140224,000000,95.0000000,95.0900000,94.0600000,94.6900000,47770930
SBER,D,20140225,000000,95.2400000,95.4800000,93.3200000,94.1700000,74366490
SBER,D,20140226,000000,94.3000000,94.5900000,91.8500000,92.2900000,90137500
SBER,D,20140227,000000,92.5000000,92.6100000,89.4000000,90.1200000,127765610
SBER,D,20140228,000000,90.1600000,91.4200000,88.8700000,91.1600000,111397500
SBER,D,20140303,000000,85.4300000,86.8400000,74.9600000,77.5700000,425351620
SBER,D,20140304,000000,78.5000000,83.9000000,77.1700000,81.5500000,371675100
SBER,D,20140305,000000,82.3800000,82.7700000,80.1200000,81.4600000,175025610
SBER,D,20140306,000000,81.6700000,83.8100000,76.5600000,80.2400000,281239140
SBER,D,20140307,000000,80.0000000,81.4600000,78.3400000,79.9900000,189902710
SBER,D,20140311,000000,79.1000000,79.7500000,76.3900000,76.5700000,149382470
SBER,D,20140312,000000,75.9500000,76.3600000,72.3500000,72.4600000,225749030
SBER,D,20140313,000000,73.5000000,73.8900000,68.8700000,69.8400000,255804680
SBER,D,20140314,000000,68.0000000,71.7500000,65.3300000,71.7500000,345592550
SBER,D,20140317,000000,72.5200000,77.1200000,71.8700000,76.9700000,342638310
SBER,D,20140318,000000,77.5900000,81.9600000,75.6400000,81.4300000,295403160
SBER,D,20140319,000000,81.5800000,82.6000000,79.1300000,80.8300000,257068520
SBER,D,20140320,000000,79.5300000,81.2700000,78.4300000,79.5000000,187068190
SBER,D,20140321,000000,77.1800000,78.5100000,76.1000000,78.4700000,205929320
SBER,D,20140324,000000,78.4700000,80.3800000,77.8200000,78.2900000,167001610
SBER,D,20140325,000000,78.7900000,81.9700000,77.3400000,81.8500000,251405660
SBER,D,20140326,000000,82.0900000,84.3400000,82.0200000,82.5600000,228863330
SBER,D,20140327,000000,82.1700000,82.7200000,79.2000000,79.8800000,184234530
SBER,D,20140328,000000,80.4100000,81.9600000,79.6700000,81.4700000,151787230
SBER,D,20140331,000000,81.3800000,83.8000000,81.1200000,83.8000000,178306630
SBER,D,20140401,000000,84.0200000,84.6800000,82.7500000,83.8800000,154794710
SBER,D,20140402,000000,83.9900000,84.1800000,81.4400000,82.6700000,143012870
SBER,D,20140403,000000,82.8700000,83.3900000,81.2100000,81.5100000,127696690
SBER,D,20140404,000000,81.9200000,83.3000000,80.8500000,82.9800000,147012990
SBER,D,20140407,000000,81.8700000,81.8700000,78.8700000,79.9500000,236516810
SBER,D,20140408,000000,79.8300000,80.0000000,78.5100000,79.4100000,163430380
SBER,D,20140409,000000,79.8100000,80.1000000,77.7500000,78.8500000,161285600
SBER,D,20140410,000000,79.2300000,80.4400000,78.5100000,79.9000000,178195550
SBER,D,20140411,000000,78.7100000,80.0700000,77.6500000,79.7500000,153404510
SBER,D,20140414,000000,79.1100000,79.1100000,77.5000000,78.3500000,190436280
SBER,D,20140415,000000,78.0000000,78.3400000,75.1000000,75.2000000,190435090
SBER,D,20140416,000000,75.9500000,76.5000000,73.6200000,76.1300000,271631300
SBER,D,20140417,000000,75.9900000,77.2100000,75.2000000,76.8900000,201099750
SBER,D,20140418,000000,78.3800000,79.4000000,78.2200000,78.8200000,114017230
SBER,D,20140421,000000,78.7900000,78.7900000,77.4600000,77.6200000,83430240
SBER,D,20140422,000000,77.4700000,77.4700000,75.6000000,76.3000000,135244390
SBER,D,20140423,000000,76.1700000,76.5100000,75.1200000,75.5600000,133220040
SBER,D,20140424,000000,75.8600000,76.1100000,71.8100000,73.2100000,251170500
SBER,D,20140425,000000,73.0500000,73.1000000,69.5600000,69.9100000,296898320
SBER,D,20140428,000000,68.9700000,73.7000000,67.9000000,73.3900000,382475910
SBER,D,20140429,000000,74.1900000,74.6600000,72.3000000,72.8000000,183928440
SBER,D,20140430,000000,72.5200000,73.1000000,71.4800000,72.5000000,109019770
SBER,D,20140502,000000,71.9900000,72.5000000,70.8900000,72.2200000,64175790
SBER,D,20140505,000000,71.3500000,72.4400000,71.0100000,71.9900000,67071430
SBER,D,20140506,000000,72.3300000,74.3000000,72.3200000,74.1000000,129514070
SBER,D,20140507,000000,73.2400000,80.3700000,73.1600000,78.5000000,270884430
SBER,D,20140508,000000,78.8800000,80.2500000,77.5700000,78.8000000,248478290
SBER,D,20140512,000000,78.8000000,79.9000000,77.7300000,79.0800000,164414090
SBER,D,20140513,000000,79.6500000,81.0800000,79.1500000,80.1500000,186703950
SBER,D,20140514,000000,80.2600000,81.6800000,79.5500000,81.3800000,136271950
SBER,D,20140515,000000,81.1800000,82.3000000,79.7500000,80.0400000,171166730
SBER,D,20140516,000000,79.4000000,79.7900000,78.5300000,79.2000000,147974210
SBER,D,20140519,000000,79.3000000,81.6800000,79.1700000,81.6200000,141037120
SBER,D,20140520,000000,82.0200000,82.5500000,80.5500000,82.3100000,155547570
SBER,D,20140521,000000,81.9800000,84.0900000,81.3000000,83.5900000,190926650
SBER,D,20140522,000000,84.0100000,84.3000000,82.1600000,83.2600000,131933400
SBER,D,20140523,000000,83.1900000,85.9800000,82.6300000,85.8300000,170497650
SBER,D,20140526,000000,85.9500000,87.6200000,85.3700000,86.8700000,113470260
SBER,D,20140527,000000,86.8800000,86.9000000,83.9500000,84.3300000,149949010
SBER,D,20140528,000000,84.6000000,85.3800000,83.7300000,84.9500000,117333640
SBER,D,20140529,000000,85.3000000,86.0100000,84.1800000,85.6500000,133543440
SBER,D,20140530,000000,85.6700000,85.9000000,84.2100000,84.5000000,108259210
SBER,D,20140602,000000,84.8000000,87.1500000,84.7700000,85.9100000,135528420
SBER,D,20140603,000000,85.3000000,86.8400000,84.6600000,86.8400000,119743340
SBER,D,20140604,000000,86.4800000,88.4700000,86.2300000,87.8100000,118784670
SBER,D,20140605,000000,87.9400000,89.0500000,86.8600000,87.4300000,136633680
SBER,D,20140606,000000,87.7600000,89.1800000,86.2800000,89.0000000,127884670
SBER,D,20140609,000000,89.2100000,89.6000000,88.6200000,88.8900000,84744280
SBER,D,20140610,000000,88.8800000,89.0000000,87.8700000,88.9900000,85841300
SBER,D,20140611,000000,89.0100000,89.3300000,88.5100000,89.0000000,67965930
SBER,D,20140616,000000,84.4800000,85.7200000,84.1500000,84.8500000,129675300
SBER,D,20140617,000000,84.9500000,85.5500000,83.3700000,83.8000000,86860490
SBER,D,20140618,000000,84.1300000,84.5500000,83.1200000,83.7700000,115150840
SBER,D,20140619,000000,84.5600000,85.6900000,84.3500000,84.8000000,112013970
SBER,D,20140620,000000,84.8000000,85.1400000,84.1000000,84.1600000,83688200
SBER,D,20140623,000000,84.2300000,85.3000000,83.4100000,83.6800000,99009090
SBER,D,20140624,000000,84.0500000,86.6000000,83.9100000,86.5000000,150480010
SBER,D,20140625,000000,86.0300000,86.4000000,83.8500000,84.4000000,114702320
SBER,D,20140626,000000,84.8600000,85.1400000,83.4600000,84.1000000,99429110
SBER,D,20140627,000000,84.1600000,84.9400000,83.9600000,84.3300000,57079630
SBER,D,20140630,000000,84.4500000,84.7000000,83.0300000,84.5000000,81486910
SBER,D,20140701,000000,84.4500000,84.4600000,83.0500000,84.0700000,79932750
SBER,D,20140702,000000,84.3100000,85.9700000,84.1200000,85.7900000,94133230
SBER,D,20140703,000000,85.9400000,86.5000000,85.2500000,85.3400000,76316130
SBER,D,20140704,000000,85.5100000,85.8600000,83.8000000,84.0000000,69391310
SBER,D,20140707,000000,84.1500000,85.7000000,83.8700000,85.4900000,71026710
SBER,D,20140708,000000,85.3300000,86.6900000,84.6700000,85.1100000,99481000
SBER,D,20140709,000000,84.9000000,85.5600000,84.2000000,85.2000000,80775470
SBER,D,20140710,000000,85.6100000,86.0900000,83.3700000,84.4700000,114283300
SBER,D,20140711,000000,84.5100000,84.8800000,83.8000000,84.5500000,78224790
SBER,D,20140714,000000,84.6500000,85.1900000,83.5500000,83.5500000,69423170
SBER,D,20140715,000000,83.8000000,84.0100000,82.8700000,83.0900000,79089540
SBER,D,20140716,000000,83.0500000,83.9800000,82.5500000,83.7800000,85974210
SBER,D,20140717,000000,82.0000000,82.1900000,80.5300000,81.5000000,146505920
SBER,D,20140718,000000,79.8000000,80.9600000,79.5900000,80.2700000,146646040
SBER,D,20140721,000000,80.3200000,80.4000000,76.5600000,76.5600000,182739060
SBER,D,20140722,000000,77.3100000,78.8400000,77.0600000,78.3000000,154238540
SBER,D,20140723,000000,78.3800000,78.9400000,76.6000000,77.4500000,93607860
SBER,D,20140724,000000,76.9900000,77.3700000,75.8100000,76.8700000,101718370
SBER,D,20140725,000000,76.7600000,76.9800000,75.0000000,75.1600000,109401380
SBER,D,20140728,000000,74.5700000,74.6000000,72.6000000,72.8200000,116387000
SBER,D,20140729,000000,72.4900000,74.5000000,71.8600000,73.2000000,193519260
SBER,D,20140730,000000,72.6900000,75.8300000,72.3300000,73.6800000,194354560
SBER,D,20140731,000000,73.8000000,75.2700000,73.2400000,73.6000000,110552540
SBER,D,20140801,000000,72.8800000,73.5000000,71.5200000,72.3700000,183341720
SBER,D,20140804,000000,72.7800000,73.5900000,71.8500000,72.7500000,102873200
SBER,D,20140805,000000,72.9900000,73.3000000,71.5700000,71.6000000,103325050
SBER,D,20140806,000000,71.2400000,71.3000000,68.8500000,69.0000000,252725470
SBER,D,20140807,000000,68.4200000,69.3000000,66.1000000,68.5000000,257438800
SBER,D,20140808,000000,67.9200000,70.7500000,67.9100000,70.7000000,162223320
SBER,D,20140811,000000,72.0100000,74.4000000,72.0100000,74.2100000,167921460
SBER,D,20140812,000000,74.1000000,75.1800000,72.8800000,73.3500000,168487550
SBER,D,20140813,000000,73.1000000,75.1900000,72.6000000,74.8400000,136902970
SBER,D,20140814,000000,74.9400000,75.8700000,74.3000000,74.9900000,146614030
SBER,D,20140815,000000,75.0100000,76.0000000,74.0000000,75.0500000,127006340
SBER,D,20140818,000000,75.1800000,75.9800000,74.7700000,75.1500000,87121020
SBER,D,20140819,000000,75.6000000,76.1000000,75.1100000,76.0000000,97406260
SBER,D,20140820,000000,75.9900000,76.9000000,75.1800000,76.9000000,120037340
SBER,D,20140821,000000,76.8500000,78.6100000,76.7100000,78.4000000,115887250
SBER,D,20140822,000000,78.4900000,78.8900000,76.8800000,78.3900000,140582040
SBER,D,20140825,000000,78.5300000,79.6900000,78.2500000,78.5600000,118566100
SBER,D,20140826,000000,78.6000000,78.9200000,77.2400000,77.4400000,79118650
SBER,D,20140827,000000,77.8800000,78.3900000,77.5100000,77.9300000,81469360
SBER,D,20140828,000000,77.7600000,77.8700000,74.4500000,74.5900000,231748020
SBER,D,20140829,000000,74.4900000,74.9700000,72.5600000,73.2100000,193264310
SBER,D,20140901,000000,73.5000000,74.9400000,72.5200000,73.6800000,164065650
SBER,D,20140902,000000,73.6200000,74.4900000,72.9400000,73.7600000,104553690
SBER,D,20140903,000000,74.1700000,78.7500000,73.7500000,78.5000000,276938760
SBER,D,20140904,000000,78.6000000,79.9500000,77.1800000,79.3900000,158402200
SBER,D,20140905,000000,78.7800000,81.3000000,78.5000000,80.2500000,159067740
SBER,D,20140908,000000,80.2500000,80.3900000,78.2600000,78.6900000,108326530
SBER,D,20140909,000000,78.8600000,80.2000000,78.6900000,79.4100000,105703500
SBER,D,20140910,000000,78.8700000,79.4000000,78.3900000,78.6700000,86106520
SBER,D,20140911,000000,79.0600000,79.5500000,76.1400000,76.3000000,152966850
SBER,D,20140912,000000,76.0100000,77.7700000,75.1300000,76.6500000,145210060
SBER,D,20140915,000000,76.3500000,77.0800000,75.4500000,75.6300000,127059940
SBER,D,20140916,000000,75.8500000,77.9000000,75.6300000,77.6000000,141600670
SBER,D,20140917,000000,77.5000000,78.9200000,76.5500000,78.6600000,150298440
SBER,D,20140918,000000,78.6600000,79.3000000,77.7100000,77.9800000,102195640
SBER,D,20140919,000000,78.2500000,78.4600000,76.6200000,77.4000000,122889970
SBER,D,20140922,000000,77.2000000,77.6900000,75.8900000,76.0000000,84474830
SBER,D,20140923,000000,76.3400000,77.8400000,76.2000000,77.6800000,97604660
SBER,D,20140924,000000,77.9200000,79.5500000,77.8700000,79.0500000,123450460
SBER,D,20140925,000000,79.6000000,80.1500000,78.0000000,78.0100000,120975670
SBER,D,20140926,000000,77.5700000,78.4300000,76.8500000,77.6000000,111403440
SBER,D,20140929,000000,77.9600000,78.3800000,76.5300000,76.7000000,100614370
SBER,D,20140930,000000,77.0600000,77.4400000,75.5200000,75.5200000,144462750
SBER,D,20141001,000000,75.1800000,76.2600000,74.2600000,74.2600000,130098910
SBER,D,20141002,000000,74.0700000,74.4700000,72.5700000,73.1500000,145077120
SBER,D,20141003,000000,73.7500000,74.6900000,73.1200000,73.7700000,111589130
SBER,D,20141006,000000,74.3700000,76.6000000,74.2500000,76.3300000,125523680
SBER,D,20141007,000000,76.3300000,76.5400000,74.9600000,75.3200000,97118100
SBER,D,20141008,000000,74.8300000,75.2500000,73.7600000,73.8000000,131797890
SBER,D,20141009,000000,75.0500000,75.7000000,73.5200000,73.6500000,144275830
SBER,D,20141010,000000,72.6200000,73.7700000,72.0600000,73.5000000,141204560
SBER,D,20141013,000000,72.7900000,75.2400000,72.6500000,74.2600000,116770580
SBER,D,20141014,000000,74.1500000,75.3600000,73.8600000,74.5500000,95409030
SBER,D,20141015,000000,74.3200000,74.8600000,72.8100000,73.0800000,120345000
SBER,D,20141016,000000,73.2400000,74.0500000,70.9500000,71.1200000,195506300
SBER,D,20141017,000000,71.8100000,73.3000000,71.3800000,73.1500000,145909100
SBER,D,20141020,000000,73.4000000,73.9300000,71.7500000,72.2500000,121799680
SBER,D,20141021,000000,72.0000000,73.1600000,71.3000000,72.5000000,116499320
SBER,D,20141022,000000,73.0000000,73.3700000,71.8000000,71.8200000,98395720
SBER,D,20141023,000000,71.4700000,72.1000000,70.8500000,71.5900000,132351600
SBER,D,20141024,000000,71.3500000,72.4900000,70.9300000,72.4900000,76025880
SBER,D,20141027,000000,73.2100000,73.7800000,72.2500000,72.9000000,119368030
SBER,D,20141028,000000,73.1200000,74.2000000,72.7300000,73.9000000,101379510
SBER,D,20141029,000000,74.1100000,74.8000000,73.6800000,74.0500000,99965540
SBER,D,20141030,000000,73.6900000,75.1300000,73.4300000,74.9800000,180886730
SBER,D,20141031,000000,75.4400000,76.8400000,75.2300000,76.2300000,154159760
SBER,D,20141103,000000,76.0800000,76.6600000,75.6100000,76.2900000,49803510
SBER,D,20141105,000000,75.8100000,75.9400000,75.0200000,75.6500000,100999010
SBER,D,20141106,000000,75.7500000,76.8800000,74.7500000,75.0500000,109607470
SBER,D,20141107,000000,75.1900000,77.6500000,74.4100000,75.6900000,195025430
SBER,D,20141110,000000,76.3600000,77.7800000,76.1200000,77.7800000,125476780
SBER,D,20141111,000000,77.8000000,78.7000000,77.0100000,77.3400000,130709130
SBER,D,20141112,000000,77.3700000,77.5500000,76.1300000,76.3200000,113818750
SBER,D,20141113,000000,76.3200000,76.5000000,73.7300000,74.0300000,150493670
SBER,D,20141114,000000,73.7900000,74.5000000,73.1000000,74.1500000,101698780
SBER,D,20141117,000000,73.7700000,74.4500000,73.4700000,73.9700000,77940610
SBER,D,20141118,000000,74.3900000,75.3500000,73.4500000,75.2100000,121005350
SBER,D,20141119,000000,75.2500000,75.5400000,73.8700000,73.9000000,89106340
SBER,D,20141120,000000,73.9600000,74.9000000,72.9300000,73.6300000,104514240
SBER,D,20141121,000000,73.9600000,74.7100000,72.9500000,74.3900000,105751390
SBER,D,20141124,000000,74.8600000,75.4000000,74.0100000,74.4000000,85457090
SBER,D,20141125,000000,74.4500000,74.6600000,73.7600000,74.1100000,59706430
SBER,D,20141126,000000,73.7700000,74.1300000,73.2600000,73.8500000,91629070
SBER,D,20141127,000000,73.6500000,74.2000000,73.0400000,73.0400000,87592190
SBER,D,20141128,000000,72.8800000,72.8900000,71.4200000,72.2500000,127971470
SBER,D,20141201,000000,71.8900000,74.2000000,71.5100000,73.7900000,138972830
SBER,D,20141202,000000,74.0600000,74.4700000,71.3100000,71.6400000,133397910
SBER,D,20141203,000000,71.8700000,72.3500000,71.4200000,72.0000000,115674740
SBER,D,20141204,000000,72.2100000,74.0300000,71.0000000,71.0400000,162007030
SBER,D,20141205,000000,70.9500000,71.7300000,68.4000000,68.6000000,160108420
SBER,D,20141208,000000,69.1500000,69.6700000,65.2300000,65.3000000,167051630
SBER,D,20141209,000000,64.7600000,66.9000000,62.6100000,66.2600000,197931460
SBER,D,20141210,000000,66.5900000,68.7000000,65.7800000,67.7700000,179946200
SBER,D,20141211,000000,67.8700000,68.4000000,65.2500000,65.9500000,181899420
SBER,D,20141212,000000,65.3900000,66.2000000,63.0700000,64.2000000,156646460
SBER,D,20141215,000000,64.0000000,65.7400000,59.9200000,60.1300000,223636410
SBER,D,20141216,000000,59.5000000,61.9500000,47.2100000,53.5000000,470470430
SBER,D,20141217,000000,54.0400000,60.8800000,52.3800000,59.9000000,446373430
SBER,D,20141218,000000,61.5200000,65.8000000,60.2500000,62.9100000,317552200
SBER,D,20141219,000000,61.8300000,63.0800000,59.5000000,61.4400000,171245270
SBER,D,20141222,000000,63.1500000,64.2000000,57.8200000,58.6000000,228160230
SBER,D,20141223,000000,59.0900000,59.5300000,52.8600000,54.0000000,230833530
SBER,D,20141224,000000,53.6100000,55.4500000,51.5100000,55.0000000,166285320
SBER,D,20141225,000000,55.0300000,58.8500000,54.7100000,58.7000000,116639360
SBER,D,20141226,000000,59.0200000,60.0000000,56.0500000,57.1300000,134604490
SBER,D,20141229,000000,57.0100000,58.2900000,53.7000000,54.5100000,113630750
SBER,D,20141230,000000,53.0500000,55.6500000,51.6000000,54.9000000,120226020
SBER,D,20150105,000000,54.0300000,56.7700000,53.5800000,56.3700000,63125270
SBER,D,20150106,000000,56.0000000,58.4500000,55.8300000,58.2800000,70251090
SBER,D,20150108,000000,58.9000000,67.7700000,58.6100000,65.7000000,187516500
SBER,D,20150109,000000,65.8000000,66.8800000,62.2500000,63.1000000,107504520
SBER,D,20150112,000000,62.2200000,63.8400000,61.6600000,62.9000000,99348150
SBER,D,20150113,000000,62.3200000,62.9800000,59.2500000,60.3100000,190523350
SBER,D,20150114,000000,59.6700000,61.2000000,59.6000000,60.0500000,133914740
SBER,D,20150115,000000,61.1700000,62.6800000,60.7100000,61.8000000,179760110
SBER,D,20150116,000000,61.8000000,62.4300000,60.4100000,61.9900000,142850950
SBER,D,20150119,000000,61.5900000,63.6700000,61.5500000,61.8000000,124881980
SBER,D,20150120,000000,61.8300000,62.2500000,60.2700000,60.8000000,120082050
SBER,D,20150121,000000,61.0800000,63.2000000,60.9500000,62.8000000,106787340
SBER,D,20150122,000000,63.0300000,64.8800000,62.4200000,64.3500000,173328060
SBER,D,20150123,000000,64.9900000,66.7200000,63.9000000,64.4500000,163113520
SBER,D,20150126,000000,63.7500000,63.8800000,60.1700000,60.4900000,153954480
SBER,D,20150127,000000,58.1900000,61.4400000,57.2000000,61.2000000,188030700
SBER,D,20150128,000000,61.8200000,62.5800000,60.3100000,60.6300000,139255140
SBER,D,20150129,000000,60.3600000,62.0000000,59.6000000,60.5000000,150437700
SBER,D,20150130,000000,61.2600000,61.5000000,59.6700000,61.5000000,194803960
SBER,D,20150202,000000,62.0000000,62.5700000,60.0300000,61.4000000,194709040
SBER,D,20150203,000000,62.0000000,62.8500000,60.8300000,62.0000000,140760260
SBER,D,20150204,000000,62.5100000,62.6900000,60.8700000,61.0400000,83362480
SBER,D,20150205,000000,60.5700000,62.4800000,59.9000000,62.4100000,173260500
SBER,D,20150206,000000,62.8100000,64.8800000,62.4500000,64.3100000,180629990
SBER,D,20150209,000000,64.3000000,67.4000000,63.8500000,65.5700000,223903050
SBER,D,20150210,000000,65.4100000,66.4300000,64.4700000,65.0000000,121353630
SBER,D,20150211,000000,66.1200000,66.4600000,65.0800000,65.1200000,142083250
SBER,D,20150212,000000,66.0500000,69.4700000,64.5500000,67.2100000,402858420
SBER,D,20150213,000000,68.0000000,70.7500000,68.0000000,70.6000000,375537650
SBER,D,20150216,000000,70.7200000,71.9000000,69.6700000,70.0000000,130958800
SBER,D,20150217,000000,70.1500000,73.9600000,69.7200000,72.4500000,243505180
SBER,D,20150218,000000,73.3500000,76.8400000,72.8300000,76.4000000,237729810
SBER,D,20150219,000000,76.0000000,76.5600000,72.8000000,73.7800000,238350910
SBER,D,20150220,000000,74.4200000,75.4500000,73.5200000,74.7500000,177413610
SBER,D,20150224,000000,71.9700000,73.8700000,71.7600000,73.7000000,116492680
SBER,D,20150225,000000,73.8100000,74.6000000,72.9000000,74.2000000,122619350
SBER,D,20150226,000000,75.0100000,76.6000000,74.6000000,75.9500000,143362770
SBER,D,20150227,000000,75.7200000,76.7500000,75.2600000,75.9100000,129646770
SBER,D,20150302,000000,76.3400000,77.4500000,76.1000000,76.2000000,110350330
SBER,D,20150303,000000,76.0400000,76.9800000,74.8400000,75.5500000,129638970
SBER,D,20150304,000000,75.3500000,75.7200000,72.3100000,72.3100000,117741850
SBER,D,20150305,000000,72.9000000,74.1600000,71.8600000,72.7000000,175774530
SBER,D,20150306,000000,73.0300000,74.1100000,72.5800000,73.2500000,105004320
SBER,D,20150310,000000,72.4900000,72.7100000,69.0900000,69.8000000,149452920
SBER,D,20150311,000000,69.8100000,71.3100000,68.7800000,70.6800000,149640420
SBER,D,20150312,000000,71.1300000,71.5900000,70.0200000,70.7900000,82826780
SBER,D,20150313,000000,71.0000000,71.3000000,67.8100000,67.8700000,151539080
SBER,D,20150316,000000,67.5200000,67.8000000,65.2300000,65.5700000,156219530
SBER,D,20150317,000000,66.0600000,66.4500000,63.8600000,64.6500000,183354400
SBER,D,20150318,000000,64.9100000,66.0500000,64.7300000,65.2600000,108022410
SBER,D,20150319,000000,66.4600000,66.8800000,64.4500000,64.9000000,123897660
SBER,D,20150320,000000,64.9500000,67.2200000,64.4000000,67.0000000,147821230
SBER,D,20150323,000000,67.5300000,67.5500000,64.8300000,65.0000000,131365440
SBER,D,20150324,000000,65.0000000,66.3600000,63.7400000,65.6000000,121872960
SBER,D,20150325,000000,65.7500000,66.1500000,64.3100000,64.8000000,97732050
SBER,D,20150326,000000,65.4200000,65.8000000,62.6200000,62.8500000,148036640
SBER,D,20150327,000000,63.0300000,63.5500000,60.5700000,61.0000000,157694600
SBER,D,20150330,000000,60.8700000,63.1700000,60.6700000,63.0100000,121542470
SBER,D,20150331,000000,63.0000000,63.4000000,61.9200000,62.8800000,113629130
SBER,D,20150401,000000,62.4400000,64.6900000,62.1800000,64.5000000,161051950
SBER,D,20150402,000000,64.6000000,66.1700000,64.0300000,65.9200000,138438980
SBER,D,20150403,000000,65.9000000,66.4000000,65.1600000,65.5000000,85547720
SBER,D,20150406,000000,65.6500000,68.9900000,65.5700000,68.9900000,136968030
SBER,D,20150407,000000,68.8300000,70.2700000,68.1500000,69.6000000,224461670
SBER,D,20150408,000000,69.4400000,69.9300000,68.6100000,69.4000000,124255630
SBER,D,20150409,000000,69.0500000,72.0000000,68.9600000,72.0000000,187895180
SBER,D,20150410,000000,72.1600000,72.4500000,70.2300000,71.5000000,143931590
SBER,D,20150413,000000,71.8500000,74.5500000,71.4300000,74.1000000,165072180
SBER,D,20150414,000000,74.1100000,74.8200000,72.8900000,74.0500000,135394590
SBER,D,20150415,000000,74.1500000,76.4900000,73.9100000,76.4900000,153798530
SBER,D,20150416,000000,76.9500000,77.5100000,74.8500000,76.5000000,176365480
SBER,D,20150417,000000,76.6300000,76.9600000,72.5000000,72.5000000,157293590
SBER,D,20150420,000000,72.5000000,74.0700000,71.2200000,73.5000000,157817040
SBER,D,20150421,000000,73.6200000,75.6700000,73.2600000,75.2400000,157620460
SBER,D,20150422,000000,75.1900000,75.3300000,72.6300000,73.9000000,143842050
SBER,D,20150423,000000,73.9800000,76.5700000,72.1100000,75.8000000,192827690
SBER,D,20150424,000000,75.7500000,77.7000000,74.8900000,75.7500000,155112060
SBER,D,20150427,000000,76.0000000,76.8600000,74.5800000,75.2000000,126267280
SBER,D,20150428,000000,74.7900000,75.7500000,73.9000000,75.7000000,99132370
SBER,D,20150429,000000,75.6200000,76.2700000,74.6800000,75.2000000,87118020
SBER,D,20150430,000000,75.2000000,76.9600000,74.9700000,76.9000000,105014840
SBER,D,20150505,000000,77.2100000,80.6000000,76.8000000,80.2100000,136433760
SBER,D,20150506,000000,80.3700000,80.9800000,78.6400000,79.2000000,110319290
SBER,D,20150507,000000,78.8700000,78.8900000,75.9700000,76.5000000,111764340
SBER,D,20150508,000000,76.3000000,76.6700000,75.0700000,75.5000000,109556830
SBER,D,20150512,000000,75.4300000,76.7000000,74.3300000,75.1900000,99504920
SBER,D,20150513,000000,75.4200000,76.0700000,74.7000000,75.2400000,108291690
SBER,D,20150514,000000,75.0700000,75.3500000,73.6000000,74.3100000,89924850
